Num_Acc,nb_conducteurs_total,nb_conducteurs_jeunes,pct_conducteurs_jeunes,resp_share_jeunes_total,resp_share_autres_total,resp_share_total_check,p_resp_moyenne_jeunes,resp_share_jeune_1,reason_jeune_1,age_jeune_1,resp_share_jeune_2,reason_jeune_2,age_jeune_2,resp_share_jeune_3,reason_jeune_3,age_jeune_3,resp_share_jeune_4,reason_jeune_4,age_jeune_4
202300000005,2,2,1.0,1.0,0.0,1.0,0.14185106490048777,0.5,col:3(+1.0);obsm:2(+0.5);vma:30(+0.2);lum:5(+0.3),22.0,0.5,col:3(+1.0);obsm:2(+0.5);vma:30(+0.2);lum:5(+0.3),22.0,,,,,,
202300000009,2,1,0.5,0.5613138549099136,0.4386861450900864,1.0,0.20100899975052938,0.561314,col:3(+1.0);choc:1(+0.5);obsm:2(+0.5);catr:3(+0.5);vma:50(+0.2),20.0,,,,,,,,,
202300000010,1,1,1.0,1.0,0.0,1.0,0.20100899975052938,1.0,choc:1(+0.5);obsm:1(+1.5);catr:3(+0.5);vma:50(+0.2),24.0,,,,,,,,,
202300000012,2,1,0.5,0.5,0.5,1.0,0.15709546888545273,0.5,col:3(+1.0);obsm:2(+0.5);catr:1(+0.5);vma:50(+0.2),20.0,,,,,,,,,
202300000015,2,2,1.0,1.0,0.0,1.0,0.3482860056462486,0.548762,col:2(+2.0);choc:4(+1.0);obsm:2(+0.5);catr:3(+0.5);vma:50(+0.2),24.0,0.451238,col:2(+2.0);choc:1(+0.5);obsm:2(+0.5);catr:3(+0.5);vma:50(+0.2),22.0,,,,,,
202300000016,2,1,0.5,0.7326806846425618,0.26731931535743825,1.0,0.5,0.732681,manv:11(+2.0);col:3(+1.0);choc:8(+0.5);obsm:2(+0.5);catr:3(+0.5);vma:50(+0.2);lum:5(+0.3),22.0,,,,,,,,,
202300000017,2,1,0.5,0.4407470343515156,0.5592529656484844,1.0,0.18242552380635635,0.440747,col:3(+1.0);choc:1(+0.5);catr:3(+0.5);vma:30(+0.2);lum:5(+0.3),20.0,,,,,,,,,
202300000018,2,1,0.5,0.37844530186261666,0.6215546981373834,1.0,0.440286350732807,0.378445,col:1(+2.0);choc:1(+0.5);obsm:2(+0.5);catr:3(+0.5);vma:90(+0.8);agg:1(+0.3),20.0,,,,,,,,,
202300000023,2,1,0.5,0.4357492949844217,0.5642507050155783,1.0,0.12131883789173686,0.435749,col:3(+1.0);choc:7(+0.5);vma:50(+0.2),23.0,,,,,,,,,
202300000025,2,1,0.5,0.5,0.5,1.0,0.12131883789173686,0.5,col:3(+1.0);catr:3(+0.5);vma:50(+0.2),25.0,,,,,,,,,
202300000033,2,1,0.5,0.5,0.5,1.0,0.12131883789173686,0.5,col:3(+1.0);obsm:2(+0.5);vma:30(+0.2),20.0,,,,,,,,,
202300000035,2,1,0.5,0.45648954400713565,0.5435104559928643,1.0,0.382252125230751,0.45649,col:2(+2.0);choc:1(+0.5);obsm:2(+0.5);catr:3(+0.5);vma:70(+0.4);agg:1(+0.3),25.0,,,,,,,,,
202300000039,2,1,0.5,0.3987460009674059,0.601253999032594,1.0,0.2535060166623378,0.398746,col:3(+1.0);choc:8(+0.5);obsm:2(+0.5);catr:3(+0.5);vma:80(+0.4);agg:1(+0.3),21.0,,,,,,,,,
202300000043,2,2,1.0,1.0,0.0,1.0,0.3348611831306797,0.549762,col:3(+1.0);choc:1(+0.5);obsm:2(+0.5);catr:3(+0.5);vma:90(+0.8);lum:3(+0.5);agg:1(+0.3),21.0,0.450238,col:3(+1.0);obsm:2(+0.5);catr:3(+0.5);vma:90(+0.8);lum:3(+0.5);agg:1(+0.3),21.0,,,,,,
202300000051,1,1,1.0,1.0,0.0,1.0,0.18242552380635635,1.0,choc:1(+0.5);obs:6(+1.0);catr:2(+0.3);vma:60(+0.4);agg:1(+0.3),20.0,,,,,,,,,
202300000054,1,1,1.0,1.0,0.0,1.0,0.5,1.0,col:1(+2.0);choc:1(+0.5);obs:13(+1.0);catr:2(+0.3);vma:80(+0.4);lum:3(+0.5);agg:1(+0.3),21.0,,,,,,,,,
202300000056,2,1,0.5,0.5,0.5,1.0,0.2535060166623378,0.5,col:3(+1.0);choc:1(+0.5);obsm:2(+0.5);catr:3(+0.5);vma:80(+0.4);agg:1(+0.3),21.0,,,,,,,,,
202300000057,1,1,1.0,1.0,0.0,1.0,0.12131883789173686,1.0,obsm:1(+1.5);vma:50(+0.2),24.0,,,,,,,,,
202300000058,1,1,1.0,1.0,0.0,1.0,0.12131883789173686,1.0,obsm:1(+1.5);vma:30(+0.2),24.0,,,,,,,,,
202300000069,4,1,0.25,0.25966506030871606,0.7403349396912839,1.0,0.5,0.259665,col:5(+1.5);choc:1(+0.5);obsm:2(+0.5);catr:1(+0.5);vma:110(+1.2);lum:3(+0.5);agg:1(+0.3),22.0,,,,,,,,,
202300000074,2,1,0.5,0.6652543881350798,0.33474561186492025,1.0,0.5744425168116589,0.665254,manv:12(+2.0);col:2(+2.0);obsm:2(+0.5);catr:1(+0.5);vma:50(+0.2);agg:1(+0.3),22.0,,,,,,,,,
202300000075,1,1,1.0,1.0,0.0,1.0,0.1652048701906146,1.0,choc:1(+0.5);obs:4(+1.0);catr:2(+0.3);vma:50(+0.2);agg:1(+0.3),23.0,,,,,,,,,
202300000080,1,1,1.0,1.0,0.0,1.0,0.09279295311715698,1.0,col:7(+-0.5);choc:1(+0.5);catr:3(+0.5);vma:80(+0.4);agg:1(+0.3),25.0,,,,,,,,,
202300000081,2,1,0.5,0.4675683209998062,0.5324316790001937,1.0,0.5299640517645717,0.467568,col:2(+2.0);choc:1(+0.5);obsm:2(+0.5);catr:1(+0.5);vma:110(+1.2);lum:2(+0.2);agg:1(+0.3),22.0,,,,,,,,,
202300000084,2,1,0.5,0.4380498932760476,0.5619501067239524,1.0,0.14931293453084377,0.43805,col:3(+1.0);obsm:2(+0.5);vma:50(+0.2);lum:4(+0.4),24.0,,,,,,,,,
202300000088,1,1,1.0,1.0,0.0,1.0,0.14185106490048777,1.0,manv:21(+1.0);choc:7(+0.5);vma:30(+0.2);lum:5(+0.3),24.0,,,,,,,,,
202300000090,2,1,0.5,0.2749882493395541,0.7250117506604459,1.0,0.20100899975052938,0.274988,col:3(+1.0);choc:1(+0.5);obsm:2(+0.5);catr:3(+0.5);vma:50(+0.2),25.0,,,,,,,,,
202300000091,3,1,0.3333333333333333,0.28413733431086635,0.7158626656891336,1.0,0.24232036099629506,0.284137,col:4(+1.0);obsm:2(+0.5);catr:1(+0.5);vma:90(+0.8);agg:1(+0.3),25.0,,,,,,,,,
202300000094,2,1,0.5,0.5456556494064352,0.4543443505935648,1.0,0.4255574831883409,0.545656,col:2(+2.0);choc:4(+1.0);obsm:2(+0.5);catr:3(+0.5);vma:50(+0.2);lum:5(+0.3),23.0,,,,,,,,,
202300000095,2,1,0.5,0.5335337510521242,0.4664662489478758,1.0,0.5890404340586651,0.533534,col:2(+2.0);choc:4(+1.0);obsm:2(+0.5);catr:1(+0.5);vma:90(+0.8);lum:3(+0.5);agg:1(+0.3),23.0,,,,,,,,,
202300000097,2,1,0.5,0.3713375448670763,0.6286624551329236,1.0,0.09279295311715698,0.371338,col:3(+1.0);vma:50(+0.2),22.0,,,,,,,,,
202300000098,2,1,0.5,0.5642507050155783,0.4357492949844217,1.0,0.15709546888545273,0.564251,col:3(+1.0);choc:1(+0.5);obsm:2(+0.5);vma:50(+0.2),22.0,,,,,,,,,
202300000099,2,1,0.5,0.44645025076554246,0.5535497492344575,1.0,0.2535060166623378,0.44645,col:2(+2.0);obsm:2(+0.5);catr:2(+0.3);vma:70(+0.4),23.0,,,,,,,,,
202300000100,1,1,1.0,1.0,0.0,1.0,0.17364664701900503,1.0,choc:1(+0.5);obsm:1(+1.5);vma:70(+0.4),24.0,,,,,,,,,
202300000102,1,1,1.0,1.0,0.0,1.0,0.15709546888545273,1.0,choc:8(+0.5);obsm:1(+1.5);vma:50(+0.2),21.0,,,,,,,,,
202300000109,2,1,0.5,0.5613138549099136,0.4386861450900864,1.0,0.20100899975052938,0.561314,col:3(+1.0);choc:1(+0.5);obsm:2(+0.5);catr:3(+0.5);vma:50(+0.2),23.0,,,,,,,,,
202300000111,2,1,0.5,0.43868614509008635,0.5613138549099137,1.0,0.1570954688854527,0.438686,col:3(+1.0);obsm:2(+0.5);vma:-1(+0.4);lum:5(+0.3),25.0,,,,,,,,,
202300000112,1,1,1.0,1.0,0.0,1.0,0.12131883789173686,1.0,obsm:1(+1.5);vma:30(+0.2),25.0,,,,,,,,,
202300000124,2,1,0.5,0.5,0.5,1.0,0.34073961154861454,0.5,col:1(+2.0);obsm:2(+0.5);catr:3(+0.5);vma:80(+0.4);lum:2(+0.2);agg:1(+0.3),21.0,,,,,,,,,
202300000125,3,1,0.3333333333333333,0.3333333333333333,0.6666666666666667,1.0,0.2535060166623378,0.333333,col:5(+1.5);obsm:2(+0.5);catr:3(+0.5);vma:70(+0.4);agg:1(+0.3),25.0,,,,,,,,,
202300000127,2,1,0.5,0.5642507050155783,0.4357492949844217,1.0,0.15709546888545273,0.564251,col:3(+1.0);choc:1(+0.5);obsm:2(+0.5);vma:50(+0.2),23.0,,,,,,,,,
202300000132,2,1,0.5,0.7671363586442153,0.23286364135578475,1.0,0.9121360851706988,0.767136,manv:5(+4.0);col:1(+2.0);obsm:2(+0.5);catr:3(+0.5);vma:50(+0.2);lum:2(+0.2);rule:frontale+contresens(+1.5),21.0,,,,,,,,,
202300000146,2,1,0.5,0.5642507050155783,0.4357492949844217,1.0,0.15709546888545273,0.564251,col:3(+1.0);choc:8(+0.5);obsm:2(+0.5);vma:50(+0.2),24.0,,,,,,,,,
