Num_Acc,Blessé hospitalisé,Blessé léger,Indemne,NA,Tué,catu_1,catu_2,catu_3,nb_veh,catr_mode,vma_mode,col_mode,choc_mode,manv_mode,obs_mode,obsm_mode,agg_mode,lum_mode,victimes_total,victimes_corporelles,blesses_legers,blesses_hosp,deces,catv_0,catv_1,catv_2,catv_3,catv_7,catv_10,catv_13,catv_14,catv_15,catv_16,catv_17,catv_20,catv_21,catv_30,catv_31,catv_32,catv_33,catv_34,catv_35,catv_36,catv_37,catv_38,catv_39,catv_40,catv_41,catv_42,catv_43,catv_50,catv_60,catv_80,catv_99,resp_share_jeunes_total,resp_share_jeune_max
202300000005,0,1,1,0,0,2,0,0,2,4,30,3,2,1,0,2,2,5,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.5
202300000009,0,1,1,0,0,2,0,0,2,3,50,3,1,1,0,2,2,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5613138549099136,0.561314
202300000010,0,1,1,0,0,1,0,1,1,3,50,6,1,1,0,1,2,1,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
202300000012,0,1,1,0,0,2,0,0,2,1,50,3,0,0,0,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
202300000015,0,1,3,0,0,2,2,0,2,3,50,2,4,1,0,2,2,1,4,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.548762
202300000016,0,2,5,0,0,2,5,0,2,3,50,3,2,1,0,2,2,5,7,2,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7326806846425618,0.732681
202300000017,0,1,1,0,0,2,0,0,2,3,30,3,1,13,0,2,2,5,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4407470343515156,0.440747
202300000018,1,2,0,0,0,2,1,0,2,3,90,1,1,15,0,2,1,1,3,3,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37844530186261666,0.378445
202300000023,1,0,1,0,0,2,0,0,2,4,50,3,1,26,0,0,2,1,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4357492949844217,0.435749
202300000025,0,1,1,0,0,2,0,0,2,3,50,3,0,2,0,0,2,1,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
202300000033,1,1,0,0,0,2,0,0,2,4,30,3,0,2,0,2,2,1,2,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
202300000035,0,2,0,0,0,2,0,0,2,3,70,2,1,1,0,2,1,1,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45648954400713565,0.45649
202300000039,2,1,3,0,0,2,4,0,2,3,80,3,8,1,0,2,1,1,6,3,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3987460009674059,0.398746
202300000043,0,2,0,0,0,2,0,0,2,3,90,3,1,1,0,2,1,3,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.549762
202300000051,1,0,0,0,0,1,0,0,1,2,60,6,1,1,6,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
202300000054,1,0,0,0,0,1,0,0,1,2,80,1,1,1,13,0,1,3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
202300000056,1,0,1,0,0,2,0,0,2,3,80,3,1,1,0,2,1,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
202300000057,0,1,1,0,0,1,0,1,1,9,50,6,2,1,0,1,2,1,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
202300000058,1,0,1,0,0,1,0,1,1,6,30,6,5,0,0,1,2,1,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
202300000069,0,4,2,0,0,4,2,0,4,1,110,5,3,23,0,2,1,3,6,4,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25966506030871606,0.259665
202300000074,0,1,3,0,0,2,2,0,2,1,50,2,2,12,0,2,1,1,4,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6652543881350798,0.665254
202300000075,0,1,0,0,0,1,0,0,1,2,50,6,1,1,4,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
202300000080,0,1,0,0,0,1,0,0,1,3,80,7,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
202300000081,0,1,1,0,0,2,0,0,2,1,110,2,1,1,0,2,1,2,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4675683209998062,0.467568
202300000084,0,2,0,0,0,2,0,0,2,4,50,3,2,1,0,2,2,4,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4380498932760476,0.43805
202300000088,0,1,0,0,0,1,0,0,1,4,30,6,7,21,14,0,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
202300000090,0,2,0,0,0,2,0,0,2,3,50,3,1,3,0,2,2,1,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2749882493395541,0.274988
202300000091,0,1,2,0,0,3,0,0,3,1,90,4,3,2,0,2,1,1,3,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28413733431086635,0.284137
202300000094,0,1,1,0,0,2,0,0,2,3,50,2,1,1,0,2,2,5,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5456556494064352,0.545656
